Year,Region and country of birth,Total Permanent Residents,Percentage,State,Population Count
2015,Philippines,56478,5.37,Alabama,239
2015,United Kingdom,12592,1.2,Alabama,45
2016,Total,1183505,100.0,Alabama,4736
2016,"China, People's Republic",81772,6.91,Alabama,330
2016,Dominican Republic,61161,5.17,Alabama,47
2016,India,64687,5.47,Alabama,330
2016,Iran,13298,1.12,Alabama,28
2016,Mexico,174534,14.75,Alabama,644
2016,Pakistan,19313,1.63,Alabama,71
2016,Philippines,53287,4.5,Alabama,231
2016,United Kingdom,12673,1.07,Alabama,65
2017,Total,1127167,100.0,Alabama,3801
2017,"China, People's Republic",71565,6.35,Alabama,214
2017,Dominican Republic,58520,5.19,Alabama,19
2017,India,60394,5.36,Alabama,352
2017,Iran,13791,1.22,Alabama,27
2017,Mexico,170581,15.13,Alabama,603
2017,Pakistan,17408,1.54,Alabama,65
2017,Philippines,49147,4.36,Alabama,236
2017,United Kingdom,10948,0.97,Alabama,41
2018,Total,1096611,100.0,Alabama,3737
2018,"China, People's Republic",65214,5.95,Alabama,201
2018,Dominican Republic,57413,5.24,Alabama,42
2018,India,59821,5.46,Alabama,313
2018,Iran,10116,0.92,Alabama,26
2018,Mexico,161858,14.76,Alabama,618
2018,Pakistan,15802,1.44,Alabama,78
2018,Philippines,47258,4.31,Alabama,213
2018,United Kingdom,9908,0.9,Alabama,45
2019,Total,1031765,100.0,Alabama,3669
2019,"China, People's Republic",62248,6.03,Alabama,154
2019,Dominican Republic,49911,4.84,Alabama,48
2019,India,54495,5.28,Alabama,339
2019,Iran,6640,0.64,Alabama,16
2019,Mexico,156052,15.12,Alabama,507
2019,Pakistan,13921,1.35,Alabama,44
2019,Philippines,45920,4.45,Alabama,235
2019,United Kingdom,11337,1.1,Alabama,65
2020,Total,707362,100.0,Alabama,2843
2020,"China, People's Republic",41483,5.86,Alabama,90
2020,Dominican Republic,30005,4.24,Alabama,26
2020,India,46363,6.55,Alabama,210
2020,Iran,8805,1.24,Alabama,37
2020,Mexico,100325,14.18,Alabama,350
2020,Pakistan,10474,1.48,Alabama,44
2020,Philippines,25491,3.6,Alabama,164
2020,United Kingdom,9655,1.36,Alabama,51
2021,Total,740002,100.0,Alabama,2887
2021,"China, People's Republic",49847,6.74,Alabama,146
2021,Dominican Republic,24553,3.32,Alabama,33
2021,India,93450,12.63,Alabama,346
2021,Iran,5734,0.77,Alabama,21
2021,Mexico,107230,14.49,Alabama,323
2021,Pakistan,9691,1.31,Alabama,31
2021,Philippines,27511,3.72,Alabama,152
2021,United Kingdom,9229,1.25,Alabama,48
2005,Total,1122373,100.0,Alaska,1525
2005,"China, People's Republic",69967,6.23,Alaska,92
2005,Dominican Republic,27504,2.45,Alaska,42
2005,India,84681,7.54,Alaska,15
2005,Iran,13887,1.24,Alaska,4
2005,Mexico,161445,14.38,Alaska,96
2005,Pakistan,14926,1.33,Alaska,0
2005,Philippines,60748,5.41,Alaska,435
2005,United Kingdom,19800,1.76,Alaska,19
2006,Total,1266264,100.0,Alaska,1554
2006,"China, People's Republic",87345,6.9,Alaska,92
2006,Dominican Republic,38069,3.01,Alaska,39
2006,India,61369,4.85,Alaska,21
2006,Iran,13947,1.1,Alaska,0
2006,Mexico,173753,13.72,Alaska,102
2006,Pakistan,17418,1.38,Alaska,9
2006,Philippines,74607,5.89,Alaska,457
2006,United Kingdom,17207,1.36,Alaska,26
2007,Total,1052415,100.0,Alaska,1617
2007,"China, People's Republic",76655,7.28,Alaska,89
2007,Dominican Republic,28024,2.66,Alaska,30
2007,India,65353,6.21,Alaska,20
2007,Iran,10460,0.99,Alaska,0
2007,Mexico,148640,14.12,Alaska,83
2007,Pakistan,13492,1.28,Alaska,8
2007,Philippines,72596,6.9,Alaska,575
2007,United Kingdom,14545,1.38,Alaska,20
2008,Total,1107126,100.0,Alaska,1534
2008,"China, People's Republic",80271,7.25,Alaska,90
2008,Dominican Republic,31879,2.88,Alaska,47
2008,India,63352,5.72,Alaska,14
2008,Iran,13852,1.25,Alaska,10
2008,Mexico,189989,17.16,Alaska,99
2008,Pakistan,19719,1.78,Alaska,0
2008,Philippines,54030,4.88,Alaska,451
2008,United Kingdom,14348,1.3,Alaska,8
2009,Total,1130818,100.0,Alaska,1608
2009,"China, People's Republic",64238,5.68,Alaska,65
2009,Dominican Republic,49414,4.37,Alaska,53
2009,India,57304,5.07,Alaska,4
2009,Iran,18553,1.64,Alaska,3
2009,Mexico,164920,14.58,Alaska,71
2009,Pakistan,21555,1.91,Alaska,43
2009,Philippines,60029,5.31,Alaska,564
2009,United Kingdom,15748,1.39,Alaska,26
2010,Total,1042625,100.0,Alaska,1703
2010,"China, People's Republic",70863,6.8,Alaska,51
2010,Dominican Republic,53870,5.17,Alaska,67
2010,India,69162,6.63,Alaska,24
2010,Iran,14182,1.36,Alaska,3
2010,Mexico,139120,13.34,Alaska,65
2010,Pakistan,18258,1.75,Alaska,14
2010,Philippines,58173,5.58,Alaska,607
2010,United Kingdom,12792,1.23,Alaska,20
2011,Total,1062040,100.0,Alaska,1799
2011,"China, People's Republic",87016,8.19,Alaska,47
2011,Dominican Republic,46109,4.34,Alaska,98
2011,India,69013,6.5,Alaska,21
2011,Iran,14822,1.4,Alaska,7
2011,Mexico,143446,13.51,Alaska,70
2011,Pakistan,15546,1.46,Alaska,13
2011,Philippines,57011,5.37,Alaska,690
2011,United Kingdom,11572,1.09,Alaska,20
2012,Total,1031631,100.0,Alaska,1612
2012,"China, People's Republic",81784,7.93,Alaska,49
2012,Dominican Republic,41566,4.03,Alaska,91
2012,India,66434,6.44,Alaska,18
2012,Iran,12916,1.25,Alaska,4
2012,Mexico,146406,14.19,Alaska,75
2012,Pakistan,14740,1.43,Alaska,4
2012,Philippines,57327,5.56,Alaska,600
2012,United Kingdom,12014,1.16,Alaska,13
2013,Total,990553,100.0,Alaska,1460
2013,"China, People's Republic",71798,7.25,Alaska,64
2013,Dominican Republic,41311,4.17,Alaska,45
2013,India,68458,6.91,Alaska,11
2013,Iran,12863,1.3,Alaska,5
2013,Mexico,135028,13.63,Alaska,51
2013,Pakistan,13251,1.34,Alaska,3
2013,Philippines,54446,5.5,Alaska,611
2013,United Kingdom,12984,1.31,Alaska,16
2014,Total,1016518,100.0,Alaska,1505
2014,"China, People's Republic",76089,7.49,Alaska,55
2014,Dominican Republic,44577,4.39,Alaska,85
2014,India,77908,7.66,Alaska,11
2014,Iran,11615,1.14,Alaska,10
2014,Mexico,134052,13.19,Alaska,81
2014,Pakistan,18612,1.83,Alaska,4
2014,Philippines,49996,4.92,Alaska,501
2014,United Kingdom,12225,1.2,Alaska,5
2015,Total,1051031,100.0,Alaska,1572
2015,"China, People's Republic",74558,7.09,Alaska,63
2015,Dominican Republic,50610,4.82,Alaska,109
2015,India,64116,6.1,Alaska,11
2015,Iran,13114,1.25,Alaska,3
2015,Mexico,158619,15.09,Alaska,101
2015,Pakistan,18057,1.72,Alaska,12
2015,Philippines,56478,5.37,Alaska,580
2015,United Kingdom,12592,1.2,Alaska,19
2016,Total,1183505,100.0,Alaska,1726
2016,"China, People's Republic",81772,6.91,Alaska,35
2016,Dominican Republic,61161,5.17,Alaska,88
2016,India,64687,5.47,Alaska,22
2016,Iran,13298,1.12,Alaska,4
2016,Mexico,174534,14.75,Alaska,103
2016,Pakistan,19313,1.63,Alaska,7
2016,Philippines,53287,4.5,Alaska,684
2016,United Kingdom,12673,1.07,Alaska,10
2017,Total,1127167,100.0,Alaska,1547
2017,"China, People's Republic",71565,6.35,Alaska,36
2017,Dominican Republic,58520,5.19,Alaska,91
2017,India,60394,5.36,Alaska,21
2017,Iran,13791,1.22,Alaska,0
2017,Mexico,170581,15.13,Alaska,93
2017,Pakistan,17408,1.54,Alaska,10
2017,Philippines,49147,4.36,Alaska,469
2017,United Kingdom,10948,0.97,Alaska,12
2018,Total,1096611,100.0,Alaska,1375
2018,"China, People's Republic",65214,5.95,Alaska,42
2018,Dominican Republic,57413,5.24,Alaska,57
2018,India,59821,5.46,Alaska,10
2018,Iran,10116,0.92,Alaska,0
2018,Mexico,161858,14.76,Alaska,86
2018,Pakistan,15802,1.44,Alaska,3
2018,Philippines,47258,4.31,Alaska,511
2018,United Kingdom,9908,0.9,Alaska,15
2019,Total,1031765,100.0,Alaska,1374
2019,"China, People's Republic",62248,6.03,Alaska,33
2019,Dominican Republic,49911,4.84,Alaska,85
2019,India,54495,5.28,Alaska,12
2019,Iran,6640,0.64,Alaska,0
2019,Mexico,156052,15.12,Alaska,77
2019,Pakistan,13921,1.35,Alaska,0
2019,Philippines,45920,4.45,Alaska,514
2019,United Kingdom,11337,1.1,Alaska,19
2020,Total,707362,100.0,Alaska,823
2020,"China, People's Republic",41483,5.86,Alaska,25
2020,Dominican Republic,30005,4.24,Alaska,21
2020,India,46363,6.55,Alaska,9
2020,Iran,8805,1.24,Alaska,0
2020,Mexico,100325,14.18,Alaska,34
2020,Pakistan,10474,1.48,Alaska,0
2020,Philippines,25491,3.6,Alaska,273
2020,United Kingdom,9655,1.36,Alaska,15
2021,Total,740002,100.0,Alaska,761
2021,"China, People's Republic",49847,6.74,Alaska,20
2021,Dominican Republic,24553,3.32,Alaska,22
2021,India,93450,12.63,Alaska,12
2021,Iran,5734,0.77,Alaska,0
2021,Mexico,107230,14.49,Alaska,33
2021,Pakistan,9691,1.31,Alaska,0
2021,Philippines,27511,3.72,Alaska,190
2021,United Kingdom,9229,1.25,Alaska,13
2005,Total,1122373,100.0,Arizona,18988
2005,"China, People's Republic",69967,6.23,Arizona,543
2005,Dominican Republic,27504,2.45,Arizona,22
2005,India,84681,7.54,Arizona,739
2005,Iran,13887,1.24,Arizona,285
2005,Mexico,161445,14.38,Arizona,8373
2005,Pakistan,14926,1.33,Arizona,131
2005,Philippines,60748,5.41,Arizona,636
2005,United Kingdom,19800,1.76,Arizona,359
2006,Total,1266264,100.0,Arizona,21530
2006,"China, People's Republic",87345,6.9,Arizona,675
2006,Dominican Republic,38069,3.01,Arizona,46
2006,India,61369,4.85,Arizona,715
2006,Iran,13947,1.1,Arizona,234
2006,Mexico,173753,13.72,Arizona,10030
2006,Pakistan,17418,1.38,Arizona,73
2006,Philippines,74607,5.89,Arizona,871
2006,United Kingdom,17207,1.36,Arizona,345
2007,Total,1052415,100.0,Arizona,17528
2007,"China, People's Republic",76655,7.28,Arizona,565
2007,Dominican Republic,28024,2.66,Arizona,47
2007,India,65353,6.21,Arizona,726
2007,Iran,10460,0.99,Arizona,153
2007,Mexico,148640,14.12,Arizona,8048
2007,Pakistan,13492,1.28,Arizona,84
2007,Philippines,72596,6.9,Arizona,862
2007,United Kingdom,14545,1.38,Arizona,300
2008,Total,1107126,100.0,Arizona,20638
2008,"China, People's Republic",80271,7.25,Arizona,627
2008,Dominican Republic,31879,2.88,Arizona,53
2008,India,63352,5.72,Arizona,611
2008,Iran,13852,1.25,Arizona,308
2008,Mexico,189989,17.16,Arizona,10557
2008,Pakistan,19719,1.78,Arizona,110
2008,Philippines,54030,4.88,Arizona,745
2008,United Kingdom,14348,1.3,Arizona,245
2009,Total,1130818,100.0,Arizona,20997
2009,"China, People's Republic",64238,5.68,Arizona,499
2009,Dominican Republic,49414,4.37,Arizona,62
2009,India,57304,5.07,Arizona,553
2009,Iran,18553,1.64,Arizona,279
2009,Mexico,164920,14.58,Arizona,9168
2009,Pakistan,21555,1.91,Arizona,120
2009,Philippines,60029,5.31,Arizona,877
2009,United Kingdom,15748,1.39,Arizona,220
2010,Total,1042625,100.0,Arizona,18243
2010,"China, People's Republic",70863,6.8,Arizona,542
2010,Dominican Republic,53870,5.17,Arizona,50
2010,India,69162,6.63,Arizona,805
2010,Iran,14182,1.36,Arizona,207
2010,Mexico,139120,13.34,Arizona,7690
2010,Pakistan,18258,1.75,Arizona,88
2010,Philippines,58173,5.58,Arizona,779
2010,United Kingdom,12792,1.23,Arizona,235
2011,Total,1062040,100.0,Arizona,20333
2011,"China, People's Republic",87016,8.19,Arizona,687
2011,Dominican Republic,46109,4.34,Arizona,61
2011,India,69013,6.5,Arizona,988
2011,Iran,14822,1.4,Arizona,289
2011,Mexico,143446,13.51,Arizona,8347
2011,Pakistan,15546,1.46,Arizona,116
2011,Philippines,57011,5.37,Arizona,842
2011,United Kingdom,11572,1.09,Arizona,234
2012,Total,1031631,100.0,Arizona,18434
2012,"China, People's Republic",81784,7.93,Arizona,676
2012,Dominican Republic,41566,4.03,Arizona,33
2012,India,66434,6.44,Arizona,978
2012,Iran,12916,1.25,Arizona,223
2012,Mexico,146406,14.19,Arizona,8075
2012,Pakistan,14740,1.43,Arizona,91
2012,Philippines,57327,5.56,Arizona,849
2012,United Kingdom,12014,1.16,Arizona,170
2013,Total,990553,100.0,Arizona,16097
2013,"China, People's Republic",71798,7.25,Arizona,511
2013,Dominican Republic,41311,4.17,Arizona,51
2013,India,68458,6.91,Arizona,772
2013,Iran,12863,1.3,Arizona,190
2013,Mexico,135028,13.63,Arizona,7355
2013,Pakistan,13251,1.34,Arizona,74
2013,Philippines,54446,5.5,Arizona,880
2013,United Kingdom,12984,1.31,Arizona,219
2014,Total,1016518,100.0,Arizona,16908
2014,"China, People's Republic",76089,7.49,Arizona,527
2014,Dominican Republic,44577,4.39,Arizona,45
2014,India,77908,7.66,Arizona,980
2014,Iran,11615,1.14,Arizona,179
2014,Mexico,134052,13.19,Arizona,7225
2014,Pakistan,18612,1.83,Arizona,78
2014,Philippines,49996,4.92,Arizona,783
2014,United Kingdom,12225,1.2,Arizona,198
2015,Total,1051031,100.0,Arizona,17997
2015,"China, People's Republic",74558,7.09,Arizona,502
2015,Dominican Republic,50610,4.82,Arizona,80
2015,India,64116,6.1,Arizona,789
2015,Iran,13114,1.25,Arizona,219
2015,Mexico,158619,15.09,Arizona,8277
2015,Pakistan,18057,1.72,Arizona,88
2015,Philippines,56478,5.37,Arizona,870
2015,United Kingdom,12592,1.2,Arizona,159
2016,Total,1183505,100.0,Arizona,20694
2016,"China, People's Republic",81772,6.91,Arizona,606
2016,Dominican Republic,61161,5.17,Arizona,62
2016,India,64687,5.47,Arizona,753
2016,Iran,13298,1.12,Arizona,217
2016,Mexico,174534,14.75,Arizona,10024
2016,Pakistan,19313,1.63,Arizona,88
2016,Philippines,53287,4.5,Arizona,929
2016,United Kingdom,12673,1.07,Arizona,194
2017,Total,1127167,100.0,Arizona,19344
2017,"China, People's Republic",71565,6.35,Arizona,499
2017,Dominican Republic,58520,5.19,Arizona,77
2017,India,60394,5.36,Arizona,718
2017,Iran,13791,1.22,Arizona,153
2017,Mexico,170581,15.13,Arizona,9308
2017,Pakistan,17408,1.54,Arizona,130
2017,Philippines,49147,4.36,Arizona,758
2017,United Kingdom,10948,0.97,Arizona,149
2018,Total,1096611,100.0,Arizona,18335
2018,"China, People's Republic",65214,5.95,Arizona,429
2018,Dominican Republic,57413,5.24,Arizona,48
2018,India,59821,5.46,Arizona,653
2018,Iran,10116,0.92,Arizona,155
2018,Mexico,161858,14.76,Arizona,8025
2018,Pakistan,15802,1.44,Arizona,119
2018,Philippines,47258,4.31,Arizona,657
2018,United Kingdom,9908,0.9,Arizona,106
2019,Total,1031765,100.0,Arizona,18181
2019,"China, People's Republic",62248,6.03,Arizona,498
2019,Dominican Republic,49911,4.84,Arizona,89
2019,India,54495,5.28,Arizona,667
2019,Iran,6640,0.64,Arizona,92
2019,Mexico,156052,15.12,Arizona,8520
2019,Pakistan,13921,1.35,Arizona,67
2019,Philippines,45920,4.45,Arizona,916
2019,United Kingdom,11337,1.1,Arizona,170
2020,Total,707362,100.0,Arizona,12516
2020,"China, People's Republic",41483,5.86,Arizona,359
2020,Dominican Republic,30005,4.24,Arizona,53
2020,India,46363,6.55,Arizona,676
2020,Iran,8805,1.24,Arizona,132
2020,Mexico,100325,14.18,Arizona,5159
2020,Pakistan,10474,1.48,Arizona,123
2020,Philippines,25491,3.6,Arizona,502
2020,United Kingdom,9655,1.36,Arizona,133
2021,Total,740002,100.0,Arizona,14466
2021,"China, People's Republic",49847,6.74,Arizona,437
2021,Dominican Republic,24553,3.32,Arizona,72
2021,India,93450,12.63,Arizona,1538
2021,Iran,5734,0.77,Arizona,86
2021,Mexico,107230,14.49,Arizona,6859
2021,Pakistan,9691,1.31,Arizona,59
2021,Philippines,27511,3.72,Arizona,555
2021,United Kingdom,9229,1.25,Arizona,179
2005,Total,1122373,100.0,Arkansas,2698
2005,"China, People's Republic",69967,6.23,Arkansas,202
2005,Dominican Republic,27504,2.45,Arkansas,0
2005,India,84681,7.54,Arkansas,215
2005,Iran,13887,1.24,Arkansas,9
2005,Mexico,161445,14.38,Arkansas,870
2005,Pakistan,14926,1.33,Arkansas,17
2005,Philippines,60748,5.41,Arkansas,132
2005,United Kingdom,19800,1.76,Arkansas,80
2006,Total,1266264,100.0,Arkansas,2926
2006,"China, People's Republic",87345,6.9,Arkansas,170
2006,Dominican Republic,38069,3.01,Arkansas,7
2006,India,61369,4.85,Arkansas,116
2006,Iran,13947,1.1,Arkansas,13
2006,Mexico,173753,13.72,Arkansas,981
2006,Pakistan,17418,1.38,Arkansas,26
2006,Philippines,74607,5.89,Arkansas,181
2006,United Kingdom,17207,1.36,Arkansas,50
2007,Total,1052415,100.0,Arkansas,2722
2007,"China, People's Republic",76655,7.28,Arkansas,149
2007,Dominican Republic,28024,2.66,Arkansas,5
2007,India,65353,6.21,Arkansas,155
2007,Iran,10460,0.99,Arkansas,8
2007,Mexico,148640,14.12,Arkansas,968
2007,Pakistan,13492,1.28,Arkansas,39
2007,Philippines,72596,6.9,Arkansas,199
2007,United Kingdom,14545,1.38,Arkansas,45
2008,Total,1107126,100.0,Arkansas,2997
2008,"China, People's Republic",80271,7.25,Arkansas,163
2008,Dominican Republic,31879,2.88,Arkansas,6
2008,India,63352,5.72,Arkansas,130
2008,Iran,13852,1.25,Arkansas,21
2008,Mexico,189989,17.16,Arkansas,1267
2008,Pakistan,19719,1.78,Arkansas,52
2008,Philippines,54030,4.88,Arkansas,135
2008,United Kingdom,14348,1.3,Arkansas,45
2009,Total,1130818,100.0,Arkansas,2942
2009,"China, People's Republic",64238,5.68,Arkansas,110
2009,Dominican Republic,49414,4.37,Arkansas,6
2009,India,57304,5.07,Arkansas,175
2009,Iran,18553,1.64,Arkansas,14
2009,Mexico,164920,14.58,Arkansas,1129
2009,Pakistan,21555,1.91,Arkansas,35
2009,Philippines,60029,5.31,Arkansas,164
2009,United Kingdom,15748,1.39,Arkansas,55
2010,Total,1042625,100.0,Arkansas,2684
2010,"China, People's Republic",70863,6.8,Arkansas,169
2010,Dominican Republic,53870,5.17,Arkansas,14
2010,India,69162,6.63,Arkansas,239
2010,Iran,14182,1.36,Arkansas,14
2010,Mexico,139120,13.34,Arkansas,897
2010,Pakistan,18258,1.75,Arkansas,33
2010,Philippines,58173,5.58,Arkansas,164
2010,United Kingdom,12792,1.23,Arkansas,52
2011,Total,1062040,100.0,Arkansas,2874
2011,"China, People's Republic",87016,8.19,Arkansas,171
2011,Dominican Republic,46109,4.34,Arkansas,7
2011,India,69013,6.5,Arkansas,278
2011,Iran,14822,1.4,Arkansas,16
2011,Mexico,143446,13.51,Arkansas,946
2011,Pakistan,15546,1.46,Arkansas,56
2011,Philippines,57011,5.37,Arkansas,151
2011,United Kingdom,11572,1.09,Arkansas,52
2012,Total,1031631,100.0,Arkansas,2795
2012,"China, People's Republic",81784,7.93,Arkansas,169
2012,Dominican Republic,41566,4.03,Arkansas,5
2012,India,66434,6.44,Arkansas,320
2012,Iran,12916,1.25,Arkansas,13
2012,Mexico,146406,14.19,Arkansas,961
2012,Pakistan,14740,1.43,Arkansas,30
2012,Philippines,57327,5.56,Arkansas,164
2012,United Kingdom,12014,1.16,Arkansas,43
2013,Total,990553,100.0,Arkansas,2900
2013,"China, People's Republic",71798,7.25,Arkansas,125
2013,Dominican Republic,41311,4.17,Arkansas,5
2013,India,68458,6.91,Arkansas,293
2013,Iran,12863,1.3,Arkansas,25
2013,Mexico,135028,13.63,Arkansas,873
2013,Pakistan,13251,1.34,Arkansas,42
2013,Philippines,54446,5.5,Arkansas,161
2013,United Kingdom,12984,1.31,Arkansas,41
2014,Total,1016518,100.0,Arkansas,2793
2014,"China, People's Republic",76089,7.49,Arkansas,127
2014,Dominican Republic,44577,4.39,Arkansas,12
2014,India,77908,7.66,Arkansas,318
2014,Iran,11615,1.14,Arkansas,24
2014,Mexico,134052,13.19,Arkansas,847
2014,Pakistan,18612,1.83,Arkansas,32
2014,Philippines,49996,4.92,Arkansas,188
2014,United Kingdom,12225,1.2,Arkansas,50
2015,Total,1051031,100.0,Arkansas,2814
2015,"China, People's Republic",74558,7.09,Arkansas,114
2015,Dominican Republic,50610,4.82,Arkansas,7
2015,India,64116,6.1,Arkansas,226
2015,Iran,13114,1.25,Arkansas,15
2015,Mexico,158619,15.09,Arkansas,882
2015,Pakistan,18057,1.72,Arkansas,45
2015,Philippines,56478,5.37,Arkansas,214
2015,United Kingdom,12592,1.2,Arkansas,40
2016,Total,1183505,100.0,Arkansas,3158
2016,"China, People's Republic",81772,6.91,Arkansas,141
2016,Dominican Republic,61161,5.17,Arkansas,16
2016,India,64687,5.47,Arkansas,226
2016,Iran,13298,1.12,Arkansas,18
2016,Mexico,174534,14.75,Arkansas,1037
2016,Pakistan,19313,1.63,Arkansas,34
2016,Philippines,53287,4.5,Arkansas,177
2016,United Kingdom,12673,1.07,Arkansas,50
2017,Total,1127167,100.0,Arkansas,3071
2017,"China, People's Republic",71565,6.35,Arkansas,128
2017,Dominican Republic,58520,5.19,Arkansas,15
2017,India,60394,5.36,Arkansas,227
2017,Iran,13791,1.22,Arkansas,16
2017,Mexico,170581,15.13,Arkansas,1010
2017,Pakistan,17408,1.54,Arkansas,36
2017,Philippines,49147,4.36,Arkansas,168
2017,United Kingdom,10948,0.97,Arkansas,32
2018,Total,1096611,100.0,Arkansas,3000
2018,"China, People's Republic",65214,5.95,Arkansas,107
2018,Dominican Republic,57413,5.24,Arkansas,28
2018,India,59821,5.46,Arkansas,207
2018,Iran,10116,0.92,Arkansas,11
2018,Mexico,161858,14.76,Arkansas,901
2018,Pakistan,15802,1.44,Arkansas,46
2018,Philippines,47258,4.31,Arkansas,179
2018,United Kingdom,9908,0.9,Arkansas,40
2019,Total,1031765,100.0,Arkansas,2915
2019,"China, People's Republic",62248,6.03,Arkansas,88
2019,Dominican Republic,49911,4.84,Arkansas,13
2019,India,54495,5.28,Arkansas,162
2019,Iran,6640,0.64,Arkansas,26
2019,Mexico,156052,15.12,Arkansas,891
2019,Pakistan,13921,1.35,Arkansas,28
2019,Philippines,45920,4.45,Arkansas,180
2019,United Kingdom,11337,1.1,Arkansas,39
2020,Total,707362,100.0,Arkansas,2224
2020,"China, People's Republic",41483,5.86,Arkansas,53
2020,Dominican Republic,30005,4.24,Arkansas,5
2020,India,46363,6.55,Arkansas,205
2020,Iran,8805,1.24,Arkansas,16
2020,Mexico,100325,14.18,Arkansas,533
2020,Pakistan,10474,1.48,Arkansas,25
2020,Philippines,25491,3.6,Arkansas,125
2020,United Kingdom,9655,1.36,Arkansas,39
2021,Total,740002,100.0,Arkansas,2586
2021,"China, People's Republic",49847,6.74,Arkansas,74
2021,Dominican Republic,24553,3.32,Arkansas,11
2021,India,93450,12.63,Arkansas,376
